Sent	amod	noun	amod_idx	head_idx	position
les commotions cérébrales sont devenu si courantes dans ce sport qu' on les considére presque comme la routine .	cérébrales	commotions	3	2	after
le comportement de la turquie vis-à-vis de le problème palestinien a fait qu' elle n' est plus en odeur de sainteté auprès de la communauté juive en générale , et américaine en particulier .	palestinien	problème	10	9	after
le comportement de la turquie vis-à-vis de le problème palestinien a fait qu' elle n' est plus en odeur de sainteté auprès de la communauté juive en générale , et américaine en particulier .	juive	communauté	26	25	after
ismene entre et annonce que c' est farnace qui a mis le feu à la flotte romaine .	romaine	flotte	17	16	after
les forfaits comprennent le transport en car grand tourisme de les différents lieux de départs proposés autour de lyon , le forfait de ski sur le domaine cité , un en-cas petit-déjeuner servi à votre arrivée en station et le service d' un accompagnateur salarié assurant la logistique de les départs et de les retours .	salarié	accompagnateur	45	44	after
il prévient que de telles agressions sont " susceptibles d' entraîner des poursuites judiciaires " .	judiciaires	poursuites	14	13	after
ils tiraient à balles réelles sur la foule .	réelles	balles	5	4	after
en effet , la biréfringence n' étant pas visible , elle n' est pas prépondérante sur le pouvoir rotatoire .	rotatoire	pouvoir	19	18	after
le point final de la plate-forme de distribution serait basé en autriche à baumgarten pour rejoindre ensuite le réseau d' europe centrale et de l' ouest .	final	point	3	2	after
l' information génétique est codée sous forme d' adn .	génétique	information	3	2	after
motivé par la charité chrétienne , la communauté a changé un vieil immeuble abanbonné où se pratiquaient d' ailleurs de nombreux échanges de drogues en ce logement sûr , propre et abordable qu' il est aujourd'hui .	chrétienne	charité	5	4	after
motivé par la charité chrétienne , la communauté a changé un vieil immeuble abanbonné où se pratiquaient d' ailleurs de nombreux échanges de drogues en ce logement sûr , propre et abordable qu' il est aujourd'hui .	sûr	logement	28	27	after
il exploitait un site de haute valeur militaire et commerciale comprenant un surplomb rocheux dominant en à-pic la rivière oust .	militaire	valeur	8	7	after
il exploitait un site de haute valeur militaire et commerciale comprenant un surplomb rocheux dominant en à-pic la rivière oust .	rocheux	surplomb	14	13	after
le chevalier lui propose une partie d' échecs , espérant retarder l' échéance fatidique , le temps de trouver une solution à ses problèmes métaphysiques : dieu existe -il ?	fatidique	échéance	14	13	after
le chevalier lui propose une partie d' échecs , espérant retarder l' échéance fatidique , le temps de trouver une solution à ses problèmes métaphysiques : dieu existe -il ?	métaphysiques	problèmes	25	24	after
" malgré les efforts consentis par quelques pays , environ 155 millions de personnes -- soit 39 % de la population -- n' ont pas encore accès à l' eau potable en afrique de l' ouest et de le centre " , selon le texte .	potable	eau	31	30	after
la direction de les fibres est donc la direction de plus grande diffusivité , indiquée par le vecteur propre associé à la plus grande valeur propre de le tenseur de diffusion .	propre	vecteur	19	18	after
la direction de les fibres est donc la direction de plus grande diffusivité , indiquée par le vecteur propre associé à la plus grande valeur propre de le tenseur de diffusion .	propre	valeur	26	25	after
l' affaire se complique un peu avec les jeux super nintendo ou d' autres systèmes , qui stockent les valeurs rvb absolues de les couleurs .	absolues	valeurs	22	20	after
la cathédrale , l' une de les plus vastes églises de le monde arménien , est bâtie sur le modèle de la cathédrale d' etchmiadzin : il s' agit d' une croix libre dotée de quatre absides .	arménien	monde	14	13	after
la cathédrale , l' une de les plus vastes églises de le monde arménien , est bâtie sur le modèle de la cathédrale d' etchmiadzin : il s' agit d' une croix libre dotée de quatre absides .	libre	croix	33	32	after
il s' agit de le 17e but de la saison pour l' attaquant finlandais .	finlandais	attaquant	14	13	after
des panneaux solaires servent également à chauffer l' eau chaude sanitaire .	solaires	panneaux	3	2	after
des panneaux solaires servent également à chauffer l' eau chaude sanitaire .	chaude	eau	10	9	after
des panneaux solaires servent également à chauffer l' eau chaude sanitaire .	sanitaire	eau	11	9	after
à le contraire , la rifampicine diminue son taux sérique .	sérique	taux	10	9	after
vous pensez que les mauriciens ne parlent pas suffisamment de la situation linguistique de leur pays ?	linguistique	situation	13	12	after
tout ceci nous conduit à le désagréable sentiment que l' économie mondiale se dirige tout droit vers la déflation .	mondiale	économie	12	11	after
les hameaux de faÿ et de barbizon lui étaient reliés par le " chemin de la messe " toujours existant .	existant	chemin	20	14	after
de plus l' appartenance à l' ordre équestre était nécessaire pour accéder à les postes d' officier dans l' armée .	équestre	ordre	8	7	after
larry harlow a fait découvrir le trompettiste cubain alfredo " chocolate " armenteros et le tromboniste mark weinstein , qui a co-arrangé l' album avec lui .	cubain	trompettiste	8	7	after
depuis 1986 , les émissions de radio chine internationale sont relayées par les émetteurs français d' issoudun ( en métropole ) et de montsinéry-tonnegrande ( en guyane ) .	français	émetteurs	15	14	after
elles faisaient l' objet d' un ordre de recherche et d' arrestation pour avoir participé à le camp -- également dénommé de la dignité -- et à les affrontements postérieurs qui ont eu lieu dans les rues de la ville .	postérieurs	affrontements	30	29	after
toujours en géométrie euclidienne , on montre que dans un triangle , le centre de gravité g , l' orthocentre h , le centre de le cercle circonscrit ω , et le centre de le cercle d' euler e sont tous les quatre alignés sur une droite dite droite d' euler de le triangle , de plus ils sont en division harmonique ( dans cet ordre ) .	euclidienne	géométrie	4	3	after
toujours en géométrie euclidienne , on montre que dans un triangle , le centre de gravité g , l' orthocentre h , le centre de le cercle circonscrit ω , et le centre de le cercle d' euler e sont tous les quatre alignés sur une droite dite droite d' euler de le triangle , de plus ils sont en division harmonique ( dans cet ordre ) .	harmonique	division	62	61	after
le 27 mai 2011 , le président chargé de l' instruction à le tribunal de grande instance de paris rend une ordonnance de non-lieu pour charges insuffisantes à l' encontre d' yves poey .	insuffisantes	charges	27	26	after
bien évidemment tous les matériaux de valeur avaient été prélevés depuis longtemps , cependant un certain nombre d' artefacts caractéristiques de le viatique funéraire royal de la xviiie dynastie ont pu être retrouvés et dont le tombeau de toutânkhamon livrera plus tard un ensemble quasi complet .	caractéristiques	artefacts	20	19	after
bien évidemment tous les matériaux de valeur avaient été prélevés depuis longtemps , cependant un certain nombre d' artefacts caractéristiques de le viatique funéraire royal de la xviiie dynastie ont pu être retrouvés et dont le tombeau de toutânkhamon livrera plus tard un ensemble quasi complet .	funéraire	viatique	24	23	after
bien évidemment tous les matériaux de valeur avaient été prélevés depuis longtemps , cependant un certain nombre d' artefacts caractéristiques de le viatique funéraire royal de la xviiie dynastie ont pu être retrouvés et dont le tombeau de toutânkhamon livrera plus tard un ensemble quasi complet .	royal	viatique	25	23	after
bien évidemment tous les matériaux de valeur avaient été prélevés depuis longtemps , cependant un certain nombre d' artefacts caractéristiques de le viatique funéraire royal de la xviiie dynastie ont pu être retrouvés et dont le tombeau de toutânkhamon livrera plus tard un ensemble quasi complet .	complet	ensemble	46	44	after
elle reste actuellement dans l' attente de le verdict final .	final	verdict	10	9	after
des innocents se trouvent impliqués dans des affaires comme celle-ci alors qu' ils sont en fait utilisés dans des stratagèmes politiques . "	politiques	stratagèmes	21	20	after
le secrétaire général de les nations unies , ban ki-moon , a soulevé d' une manière claire et objective , dans son rapport publié vendredi et qui sera examiné mardi prochain par le conseil de sécurité , l' urgence de faire face à la situation relative à les violations de les droits de l' homme à le sahara occidental .	général	secrétaire	3	2	after
